@relation WindPrediction

@attribute 'DATE' numeric
@attribute 'WIND' numeric
@attribute 'IND' numeric
@attribute 'RAIN' numeric
@attribute 'IND.1' numeric
@attribute 'T.MAX' numeric
@attribute 'IND.2' numeric
@attribute 'T.MIN' numeric
@attribute 'T.MIN.G' {low,medium,high}

@data
25.0,14.33,0.0,0.7,0.0,17.0,0.0,21.0,high
26.0,16.79,0.0,1.5,0.0,18.0,0.0,0.0,high
27.0,12.25,0.0,2.8,0.0,19.0,0.0,22.0,high
28.0,22.0,0.0,6.2,0.0,20.0,0.0,23.0,high
29.0,14.5,0.0,1.4,0.0,21.0,0.0,0.0,high
30.0,14.88,0.0,4.7,0.0,1.0,0.0,24.0,low
31.0,10.17,0.0,2.1,0.0,22.0,0.0,25.0,high
32.0,10.88,0.0,0.1,0.0,23.0,0.0,25.0,high
33.0,8.5,0.0,4.0,0.0,23.0,1.0,19.0,high
34.0,12.54,0.0,5.7,0.0,24.0,0.0,26.0,high
35.0,13.96,0.0,8.6,0.0,25.0,0.0,27.0,high
36.0,19.17,0.0,0.5,0.0,21.0,0.0,24.0,high
37.0,14.21,0.0,0.3,0.0,26.0,0.0,16.0,high
38.0,16.5,0.0,4.4,0.0,27.0,0.0,23.0,high
39.0,14.37,0.0,0.3,0.0,28.0,0.0,28.0,high
40.0,11.08,0.0,0.8,0.0,29.0,0.0,29.0,high
41.0,17.5,0.0,3.5,0.0,24.0,0.0,29.0,high
42.0,11.71,0.0,0.0,0.0,30.0,0.0,30.0,high
43.0,16.08,0.0,0.0,0.0,31.0,0.0,31.0,high
44.0,15.46,0.0,0.0,0.0,32.0,0.0,32.0,high
45.0,5.17,0.0,0.0,0.0,33.0,0.0,33.0,high
46.0,3.42,0.0,0.0,0.0,34.0,0.0,33.0,high
47.0,6.17,0.0,0.0,0.0,28.0,0.0,23.0,high
48.0,10.88,0.0,0.0,0.0,32.0,0.0,34.0,high
49.0,9.62,0.0,0.0,0.0,35.0,0.0,35.0,high
50.0,7.25,0.0,0.0,0.0,10.0,0.0,36.0,high
51.0,3.75,0.0,0.0,0.0,36.0,0.0,27.0,high
52.0,8.25,0.0,0.0,0.0,37.0,0.0,37.0,high
53.0,16.38,0.0,4.6,0.0,38.0,0.0,37.0,high
54.0,8.17,0.0,0.7,0.0,39.0,0.0,38.0,high
55.0,13.08,0.0,3.2,0.0,40.0,0.0,39.0,high
56.0,21.17,0.0,2.1,0.0,35.0,0.0,40.0,high
57.0,12.75,0.0,3.1,0.0,14.0,0.0,22.0,low
58.0,14.75,0.0,1.0,0.0,41.0,0.0,41.0,high
59.0,10.25,0.0,0.7,0.0,31.0,0.0,42.0,high
60.0,10.88,0.0,0.0,0.0,9.0,0.0,43.0,high
61.0,11.29,0.0,0.0,0.0,9.0,0.0,9.0,high
62.0,6.21,0.0,0.0,0.0,42.0,0.0,44.0,medium
63.0,5.5,0.0,0.0,0.0,43.0,0.0,26.0,low
64.0,2.83,0.0,0.0,0.0,44.0,0.0,17.0,high
65.0,3.63,0.0,0.0,0.0,45.0,0.0,34.0,high
66.0,1.71,0.0,0.0,0.0,46.0,0.0,23.0,high
67.0,3.75,0.0,0.0,0.0,47.0,0.0,38.0,high
68.0,8.79,0.0,0.0,0.0,42.0,0.0,45.0,high
69.0,10.34,0.0,0.0,0.0,27.0,0.0,46.0,high
70.0,17.12,0.0,0.1,0.0,48.0,0.0,22.0,high
71.0,13.96,0.0,0.0,0.0,30.0,0.0,47.0,high
72.0,8.12,0.0,0.0,0.0,30.0,0.0,48.0,high
73.0,11.54,0.0,0.0,0.0,49.0,0.0,30.0,medium
74.0,2.75,0.0,0.0,0.0,50.0,0.0,21.0,high
75.0,13.0,0.0,0.0,0.0,51.0,0.0,24.0,high
76.0,13.17,0.0,0.5,0.0,52.0,0.0,44.0,high
77.0,7.75,0.0,0.0,1.0,53.0,0.0,49.0,high
78.0,15.41,0.0,0.0,0.0,42.0,0.0,50.0,high
79.0,8.17,0.0,0.0,0.0,54.0,0.0,51.0,high
80.0,8.0,0.0,0.0,0.0,31.0,0.0,7.0,high
81.0,10.88,0.0,0.0,0.0,55.0,0.0,12.0,high
82.0,8.46,0.0,0.0,0.0,35.0,0.0,38.0,high
83.0,10.75,0.0,0.0,0.0,9.0,0.0,16.0,high
84.0,13.75,0.0,0.3,0.0,42.0,0.0,52.0,high
85.0,6.75,0.0,0.0,0.0,28.0,1.0,53.0,high
86.0,10.88,0.0,1.1,0.0,32.0,0.0,3.0,high
87.0,16.62,0.0,1.8,0.0,45.0,2.0,54.0,high
88.0,14.79,0.0,1.8,0.0,33.0,0.0,48.0,high
89.0,11.92,0.0,1.1,0.0,35.0,0.0,30.0,high
90.0,11.67,0.0,2.5,0.0,56.0,0.0,31.0,high
91.0,5.25,0.0,0.0,0.0,54.0,0.0,40.0,high
92.0,5.5,0.0,2.6,0.0,6.0,0.0,20.0,high
93.0,6.0,0.0,9.6,0.0,57.0,0.0,41.0,high
94.0,9.25,0.0,4.2,0.0,58.0,0.0,27.0,high
95.0,5.0,0.0,0.0,0.0,42.0,0.0,55.0,high
96.0,5.33,0.0,0.0,0.0,52.0,0.0,56.0,low
97.0,8.71,0.0,8.1,0.0,34.0,0.0,41.0,medium
98.0,9.96,0.0,1.9,0.0,19.0,0.0,31.0,high
99.0,5.21,0.0,1.9,0.0,44.0,0.0,57.0,high
100.0,5.66,0.0,5.8,0.0,59.0,0.0,0.0,high
101.0,6.54,0.0,7.8,0.0,56.0,0.0,58.0,high
102.0,8.0,0.0,0.1,0.0,60.0,0.0,59.0,high
103.0,4.29,0.0,0.5,0.0,27.0,0.0,60.0,high
104.0,2.46,0.0,0.0,0.0,31.0,0.0,20.0,medium
105.0,2.88,0.0,0.0,0.0,9.0,0.0,50.0,high
106.0,4.46,0.0,0.0,0.0,30.0,0.0,41.0,medium
107.0,5.66,0.0,0.2,0.0,29.0,0.0,45.0,high
108.0,12.96,0.0,3.7,0.0,26.0,0.0,61.0,high
109.0,12.25,0.0,1.0,0.0,61.0,0.0,54.0,high
110.0,9.5,0.0,3.6,0.0,62.0,0.0,52.0,high
111.0,7.46,0.0,11.0,0.0,20.0,0.0,62.0,high
112.0,10.71,0.0,1.8,0.0,63.0,0.0,45.0,high
113.0,5.25,0.0,2.8,0.0,33.0,0.0,8.0,high
114.0,13.75,0.0,17.2,0.0,63.0,0.0,63.0,low
115.0,6.0,0.0,0.0,0.0,49.0,0.0,45.0,high
116.0,6.25,0.0,0.0,0.0,64.0,0.0,43.0,high
117.0,2.67,0.0,0.0,0.0,30.0,0.0,39.0,high
118.0,4.04,0.0,4.0,0.0,65.0,0.0,30.0,high
119.0,5.09,0.0,1.6,0.0,66.0,0.0,59.0,high
120.0,9.96,0.0,7.3,0.0,67.0,0.0,35.0,high
121.0,10.46,0.0,3.4,0.0,17.0,0.0,63.0,high
122.0,9.5,0.0,0.4,0.0,30.0,0.0,64.0,high
123.0,5.96,0.0,2.0,0.0,68.0,0.0,47.0,high
124.0,9.13,0.0,0.7,0.0,59.0,0.0,65.0,high
125.0,16.83,0.0,0.8,0.0,30.0,0.0,66.0,high
126.0,18.21,0.0,2.3,0.0,32.0,0.0,67.0,high
127.0,18.58,0.0,0.0,0.0,60.0,0.0,43.0,high
128.0,7.25,0.0,0.0,0.0,68.0,0.0,68.0,high
129.0,3.33,0.0,0.0,0.0,69.0,0.0,24.0,low
130.0,3.67,0.0,0.0,0.0,70.0,0.0,21.0,high
131.0,5.17,0.0,0.0,0.0,71.0,0.0,69.0,high
132.0,5.21,0.0,0.2,0.0,72.0,0.0,37.0,high
133.0,10.04,0.0,1.4,0.0,65.0,0.0,70.0,high
134.0,5.91,0.0,0.0,0.0,45.0,0.0,59.0,high
135.0,8.38,0.0,0.0,0.0,10.0,0.0,31.0,high
136.0,5.83,0.0,0.0,0.0,48.0,0.0,9.0,high
137.0,5.04,0.0,0.0,0.0,31.0,0.0,17.0,high
138.0,6.83,0.0,0.0,0.0,27.0,0.0,71.0,medium
139.0,4.71,0.0,0.0,0.0,45.0,0.0,59.0,high
140.0,3.17,0.0,0.0,0.0,73.0,0.0,20.0,high
141.0,2.42,0.0,0.0,0.0,44.0,0.0,65.0,low
142.0,3.13,0.0,0.0,0.0,35.0,0.0,57.0,high
143.0,4.0,0.0,0.2,0.0,27.0,0.0,58.0,high
144.0,6.79,0.0,1.6,0.0,31.0,0.0,42.0,high
145.0,9.33,0.0,0.0,0.0,41.0,0.0,72.0,high
146.0,4.92,0.0,0.0,0.0,74.0,0.0,16.0,high
147.0,5.41,0.0,0.0,0.0,75.0,0.0,25.0,high
148.0,11.71,0.0,1.8,0.0,32.0,0.0,66.0,high
149.0,5.83,0.0,0.0,0.0,47.0,0.0,32.0,high
150.0,6.58,0.0,0.0,0.0,76.0,0.0,73.0,high
151.0,9.75,0.0,0.0,0.0,76.0,0.0,71.0,high
152.0,7.92,0.0,0.0,0.0,77.0,0.0,47.0,high
153.0,10.41,0.0,0.0,0.0,78.0,0.0,74.0,high
154.0,6.21,0.0,0.0,0.0,79.0,0.0,75.0,high
155.0,3.42,0.0,9.4,1.0,76.0,0.0,76.0,high
156.0,4.21,0.0,0.3,0.0,68.0,0.0,77.0,high
157.0,8.17,0.0,4.8,0.0,80.0,0.0,31.0,high
158.0,9.54,0.0,0.7,0.0,30.0,0.0,61.0,high
159.0,8.29,0.0,1.8,0.0,43.0,0.0,38.0,high
160.0,9.71,0.0,1.6,0.0,65.0,0.0,58.0,high
161.0,6.25,0.0,3.6,0.0,81.0,0.0,59.0,high
162.0,9.17,0.0,1.0,0.0,82.0,0.0,47.0,high
163.0,4.67,0.0,0.2,0.0,83.0,0.0,65.0,high
164.0,5.66,0.0,1.2,0.0,50.0,0.0,28.0,high
165.0,8.25,0.0,0.1,0.0,50.0,0.0,78.0,high
166.0,10.54,0.0,0.2,0.0,84.0,0.0,63.0,high
167.0,12.96,0.0,0.8,0.0,85.0,0.0,79.0,high
168.0,13.7,0.0,0.0,0.0,86.0,0.0,48.0,high
169.0,10.37,0.0,0.0,0.0,87.0,0.0,80.0,high
170.0,7.92,0.0,0.0,0.0,81.0,0.0,80.0,high
171.0,10.54,0.0,1.6,0.0,88.0,0.0,43.0,high
172.0,13.29,0.0,0.0,0.0,89.0,0.0,81.0,high
173.0,14.21,0.0,0.0,0.0,90.0,0.0,81.0,high
174.0,14.88,0.0,0.0,0.0,91.0,0.0,77.0,high
175.0,11.87,0.0,2.8,0.0,92.0,0.0,82.0,high
176.0,8.38,0.0,0.0,0.0,73.0,0.0,81.0,high
177.0,10.54,0.0,0.0,0.0,68.0,0.0,38.0,high
178.0,8.79,0.0,0.0,0.0,93.0,0.0,42.0,high
179.0,8.33,0.0,0.0,0.0,94.0,0.0,83.0,high
180.0,4.92,0.0,0.0,0.0,95.0,0.0,81.0,high
181.0,6.71,0.0,0.0,0.0,88.0,0.0,84.0,high
182.0,5.83,0.0,0.0,0.0,96.0,0.0,82.0,high
183.0,15.75,0.0,0.6,0.0,97.0,0.0,48.0,high
184.0,14.92,0.0,0.0,0.0,98.0,0.0,85.0,high
185.0,10.08,0.0,0.0,0.0,85.0,0.0,30.0,high
186.0,7.08,0.0,0.1,0.0,99.0,0.0,55.0,high
187.0,14.54,0.0,0.2,0.0,100.0,0.0,86.0,high
188.0,14.04,0.0,0.0,0.0,97.0,0.0,87.0,high
189.0,9.46,0.0,6.4,0.0,101.0,0.0,88.0,high
190.0,2.67,0.0,6.6,0.0,87.0,0.0,89.0,high
191.0,7.41,0.0,5.4,0.0,102.0,0.0,90.0,high
192.0,9.08,0.0,0.4,0.0,103.0,0.0,91.0,high
193.0,16.83,0.0,21.4,0.0,33.0,0.0,59.0,high
194.0,11.83,0.0,0.1,0.0,102.0,0.0,92.0,high
195.0,10.25,0.0,2.6,0.0,50.0,0.0,61.0,high
196.0,13.13,0.0,0.1,0.0,104.0,0.0,93.0,high
197.0,7.08,0.0,0.0,0.0,70.0,0.0,47.0,high
198.0,4.96,0.0,0.0,0.0,105.0,0.0,47.0,high
199.0,3.5,0.0,0.0,0.0,78.0,0.0,61.0,high
200.0,3.04,0.0,0.0,0.0,97.0,0.0,82.0,high
201.0,2.21,0.0,0.0,0.0,106.0,0.0,74.0,high
202.0,4.75,0.0,0.0,0.0,69.0,0.0,42.0,high
203.0,2.21,0.0,0.0,0.0,87.0,0.0,32.0,high
204.0,3.58,0.0,0.0,0.0,97.0,0.0,83.0,high
205.0,12.29,0.0,1.6,0.0,107.0,0.0,81.0,high
206.0,18.79,0.0,0.0,0.0,108.0,0.0,76.0,high
207.0,7.87,0.0,2.6,0.0,68.0,0.0,70.0,high
208.0,9.67,0.0,0.0,0.0,77.0,0.0,63.0,high
209.0,5.79,0.0,0.0,0.0,98.0,0.0,94.0,high
210.0,6.04,0.0,0.0,0.0,109.0,0.0,35.0,high
211.0,3.75,0.0,0.0,0.0,80.0,0.0,74.0,high
212.0,4.21,0.0,0.7,0.0,69.0,0.0,29.0,high
213.0,8.87,0.0,0.9,0.0,77.0,0.0,58.0,high
214.0,11.92,0.0,5.1,0.0,105.0,0.0,95.0,high
215.0,13.54,0.0,0.0,0.0,107.0,0.0,96.0,high
216.0,10.54,0.0,0.0,0.0,93.0,0.0,61.0,high
217.0,7.87,0.0,0.1,0.0,97.0,0.0,78.0,high
218.0,3.88,0.0,15.0,1.0,44.0,0.0,38.0,high
219.0,10.63,0.0,1.1,0.0,103.0,0.0,32.0,high
220.0,11.25,0.0,1.9,0.0,97.0,0.0,58.0,high
221.0,4.67,0.0,1.2,0.0,81.0,0.0,59.0,high
222.0,6.83,0.0,0.2,0.0,81.0,0.0,31.0,high
223.0,6.83,0.0,0.8,0.0,110.0,0.0,97.0,high
224.0,10.92,0.0,0.1,0.0,101.0,0.0,94.0,high
225.0,15.09,0.0,0.4,0.0,50.0,0.0,81.0,high
226.0,9.42,0.0,0.3,0.0,97.0,0.0,89.0,high
227.0,12.96,0.0,0.0,0.0,103.0,0.0,83.0,high
228.0,10.21,0.0,0.4,0.0,111.0,0.0,94.0,high
229.0,19.04,0.0,0.8,0.0,76.0,0.0,98.0,high
230.0,13.21,0.0,0.3,0.0,104.0,0.0,99.0,high
231.0,12.58,0.0,9.5,0.0,112.0,0.0,75.0,high
232.0,19.0,0.0,0.2,0.0,87.0,0.0,100.0,high
233.0,12.08,0.0,0.0,0.0,43.0,0.0,47.0,high
234.0,8.17,0.0,5.0,0.0,92.0,0.0,81.0,high
235.0,5.66,0.0,0.0,0.0,83.0,0.0,28.0,high
236.0,10.92,0.0,1.8,0.0,88.0,0.0,90.0,high
237.0,9.79,0.0,1.1,0.0,98.0,0.0,101.0,high
238.0,12.12,0.0,0.0,0.0,111.0,0.0,82.0,high
239.0,9.08,0.0,0.0,0.0,113.0,0.0,102.0,high
240.0,14.12,0.0,0.0,0.0,114.0,0.0,103.0,high
241.0,4.58,0.0,0.0,0.0,85.0,0.0,57.0,high
242.0,2.92,0.0,0.1,0.0,115.0,0.0,71.0,high
243.0,4.63,0.0,0.1,0.0,112.0,0.0,83.0,high
244.0,3.83,0.0,0.1,0.0,116.0,0.0,88.0,high
245.0,5.88,0.0,0.0,0.0,59.0,0.0,104.0,high
246.0,1.25,0.0,0.0,0.0,97.0,0.0,87.0,high
247.0,9.38,0.0,0.2,0.0,104.0,0.0,85.0,high
248.0,14.09,0.0,3.4,0.0,81.0,0.0,105.0,high
249.0,7.87,0.0,0.0,0.0,117.0,0.0,45.0,high
250.0,3.17,0.0,0.0,0.0,80.0,0.0,106.0,high
251.0,6.92,0.0,7.9,0.0,99.0,0.0,97.0,high
252.0,4.83,0.0,0.0,0.0,109.0,0.0,96.0,high
253.0,8.63,0.0,2.8,0.0,98.0,0.0,47.0,high
254.0,11.08,0.0,0.5,0.0,93.0,0.0,32.0,high
255.0,11.75,0.0,0.8,0.0,110.0,0.0,102.0,high
256.0,12.75,0.0,1.0,0.0,93.0,0.0,58.0,high
257.0,13.0,0.0,0.5,0.0,88.0,0.0,78.0,high
258.0,20.79,0.0,0.0,1.0,93.0,0.0,76.0,high
259.0,7.87,0.0,0.0,0.0,85.0,0.0,47.0,high
260.0,4.17,0.0,0.1,0.0,101.0,0.0,37.0,high
261.0,8.17,0.0,9.0,0.0,92.0,0.0,81.0,high
262.0,4.79,0.0,9.8,0.0,86.0,0.0,83.0,high
263.0,6.46,0.0,0.0,0.0,97.0,0.0,107.0,high
264.0,4.12,0.0,0.4,0.0,118.0,0.0,1.0,high
265.0,6.08,0.0,2.8,0.0,119.0,0.0,91.0,high
266.0,5.91,0.0,0.0,0.0,68.0,0.0,46.0,high
267.0,8.92,0.0,0.0,0.0,30.0,0.0,72.0,medium
268.0,12.46,0.0,1.2,0.0,81.0,0.0,89.0,high
269.0,8.08,0.0,32.0,0.0,35.0,0.0,42.0,high
270.0,9.13,0.0,6.1,0.0,44.0,0.0,47.0,high
271.0,9.21,0.0,1.2,0.0,64.0,0.0,55.0,high
272.0,10.96,0.0,0.0,0.0,120.0,0.0,108.0,high
273.0,5.83,0.0,0.5,0.0,106.0,0.0,109.0,high
274.0,8.71,0.0,3.4,0.0,80.0,0.0,58.0,high
275.0,4.04,0.0,7.3,0.0,30.0,0.0,110.0,high
276.0,3.5,0.0,4.0,0.0,31.0,0.0,106.0,high
277.0,5.63,0.0,1.8,0.0,45.0,0.0,31.0,high
278.0,12.96,0.0,3.0,0.0,60.0,0.0,93.0,high
279.0,6.87,0.0,0.6,0.0,27.0,0.0,17.0,high
280.0,10.17,0.0,1.6,0.0,46.0,0.0,28.0,high
281.0,9.04,0.0,1.7,0.0,108.0,0.0,73.0,high
282.0,11.75,0.0,0.9,0.0,81.0,0.0,58.0,high
283.0,12.71,0.0,0.1,0.0,58.0,0.0,59.0,high
284.0,5.58,0.0,0.0,0.0,30.0,0.0,111.0,high
285.0,9.92,0.0,0.0,0.0,77.0,0.0,46.0,high
286.0,2.96,0.0,0.0,0.0,104.0,0.0,31.0,medium
287.0,9.0,0.0,0.0,0.0,33.0,0.0,33.0,high
288.0,14.58,0.0,2.2,0.0,9.0,0.0,69.0,high
289.0,22.17,0.0,0.0,0.0,20.0,0.0,31.0,high
290.0,21.84,0.0,0.0,0.0,18.0,0.0,34.0,high
291.0,13.21,0.0,1.1,0.0,53.0,0.0,46.0,high
292.0,12.08,0.0,0.0,0.0,29.0,0.0,33.0,high
293.0,7.5,0.0,0.3,0.0,56.0,0.0,71.0,high
294.0,17.58,0.0,16.7,0.0,20.0,0.0,52.0,high
295.0,16.21,0.0,6.6,0.0,35.0,0.0,34.0,high
296.0,17.96,0.0,5.6,0.0,121.0,0.0,35.0,high
297.0,18.34,0.0,0.2,0.0,122.0,0.0,16.0,high
298.0,9.79,0.0,0.0,0.0,32.0,0.0,64.0,high
299.0,7.79,0.0,1.6,0.0,26.0,0.0,112.0,high
300.0,9.75,0.0,0.0,0.0,28.0,0.0,0.0,high
301.0,9.42,0.0,0.0,0.0,123.0,0.0,113.0,high
302.0,14.88,0.0,0.0,0.0,74.0,0.0,71.0,high
303.0,15.25,0.0,0.5,0.0,124.0,0.0,92.0,high
304.0,13.08,0.0,0.3,0.0,124.0,0.0,63.0,high
305.0,15.83,0.0,0.5,0.0,28.0,0.0,55.0,high
306.0,11.21,0.0,0.0,0.0,125.0,0.0,21.0,high
307.0,8.5,0.0,0.0,0.0,41.0,0.0,114.0,high
308.0,10.79,0.0,0.4,0.0,17.0,2.0,9.0,high
309.0,8.21,0.0,0.0,1.0,24.0,0.0,106.0,high
310.0,9.29,0.0,4.1,0.0,126.0,0.0,106.0,high
311.0,6.58,0.0,0.0,0.0,8.0,0.0,50.0,high
312.0,8.21,0.0,0.0,0.0,0.0,1.0,115.0,high
313.0,7.71,0.0,0.3,0.0,127.0,1.0,116.0,high
314.0,12.12,0.0,0.0,0.0,36.0,1.0,116.0,high
315.0,13.04,0.0,0.0,0.0,128.0,0.0,117.0,high
316.0,21.87,0.0,0.0,0.0,128.0,0.0,16.0,low
317.0,15.71,0.0,0.0,0.0,55.0,0.0,55.0,high
318.0,6.0,0.0,0.0,0.0,22.0,0.0,45.0,high
319.0,2.29,0.0,0.5,0.0,129.0,0.0,38.0,high
320.0,3.13,0.0,0.4,0.0,53.0,0.0,34.0,high
321.0,9.29,0.0,0.0,0.0,53.0,0.0,38.0,high
322.0,9.33,0.0,0.0,0.0,55.0,0.0,52.0,high
323.0,13.04,0.0,0.0,0.0,0.0,0.0,52.0,high
324.0,7.0,0.0,17.8,0.0,52.0,0.0,56.0,high
325.0,9.17,0.0,0.7,0.0,18.0,0.0,18.0,high
326.0,15.41,0.0,0.0,0.0,22.0,0.0,8.0,low
327.0,16.17,0.0,0.9,0.0,8.0,0.0,49.0,high
328.0,11.83,0.0,0.0,0.0,130.0,0.0,44.0,high
329.0,6.34,0.0,8.6,0.0,23.0,1.0,118.0,high
330.0,5.83,0.0,1.2,0.0,7.0,2.0,26.0,high
331.0,12.79,0.0,0.9,0.0,129.0,0.0,51.0,high
332.0,15.29,0.0,12.5,0.0,20.0,0.0,119.0,high
333.0,16.5,0.0,5.8,0.0,10.0,0.0,106.0,high
334.0,7.25,0.0,0.0,0.0,2.0,0.0,72.0,high
335.0,12.21,0.0,3.0,0.0,1.0,0.0,120.0,high
336.0,7.67,0.0,3.2,0.0,131.0,1.0,13.0,high
337.0,13.79,0.0,8.4,0.0,10.0,1.0,121.0,high
338.0,17.83,0.0,0.1,1.0,132.0,0.0,122.0,high
339.0,12.62,0.0,0.0,0.0,133.0,1.0,118.0,high
340.0,8.87,0.0,4.5,0.0,2.0,1.0,123.0,high
341.0,19.83,0.0,4.2,0.0,121.0,1.0,14.0,high
342.0,10.04,0.0,3.4,0.0,32.0,0.0,37.0,high
343.0,18.84,0.0,4.6,0.0,75.0,0.0,37.0,high
344.0,25.62,0.0,0.4,0.0,42.0,0.0,48.0,high
345.0,16.83,0.0,3.3,0.0,48.0,0.0,95.0,high
346.0,16.66,0.0,0.2,1.0,25.0,0.0,73.0,high
347.0,9.38,0.0,0.1,0.0,31.0,1.0,124.0,high
348.0,10.71,0.0,0.0,0.0,126.0,1.0,125.0,high
349.0,6.92,0.0,0.0,0.0,134.0,0.0,73.0,high
350.0,9.54,0.0,0.0,0.0,135.0,0.0,22.0,high
351.0,4.79,0.0,0.0,0.0,11.0,1.0,126.0,high
352.0,3.54,0.0,0.0,0.0,136.0,1.0,14.0,high
353.0,3.63,0.0,0.0,0.0,127.0,1.0,127.0,high
354.0,4.33,0.0,0.0,0.0,137.0,1.0,14.0,high
355.0,13.59,0.0,0.0,0.0,7.0,1.0,116.0,high
356.0,18.12,0.0,0.0,1.0,132.0,0.0,41.0,high
357.0,8.5,0.0,0.0,0.0,138.0,1.0,125.0,high
358.0,11.92,0.0,0.0,1.0,132.0,1.0,126.0,high
359.0,17.12,0.0,0.0,0.0,132.0,0.0,122.0,low
360.0,2.92,0.0,0.0,0.0,133.0,1.0,13.0,high
361.0,8.96,0.0,0.0,0.0,139.0,1.0,128.0,high
362.0,15.0,0.0,0.0,1.0,140.0,1.0,14.0,high
363.0,17.29,0.0,0.0,0.0,141.0,0.0,129.0,medium
364.0,10.04,0.0,1.3,0.0,142.0,1.0,130.0,high
365.0,10.41,0.0,0.0,0.0,143.0,1.0,131.0,high
366.0,8.46,0.0,0.0,2.0,144.0,1.0,132.0,high
367.0,4.58,0.0,0.0,0.0,145.0,1.0,133.0,high
368.0,5.5,0.0,0.0,0.0,146.0,1.0,134.0,high
369.0,15.29,0.0,1.8,0.0,147.0,1.0,135.0,medium
370.0,8.46,0.0,2.1,0.0,26.0,0.0,72.0,high
371.0,14.29,0.0,0.0,0.0,38.0,0.0,112.0,high
372.0,17.71,0.0,6.8,0.0,57.0,0.0,65.0,high
373.0,15.29,0.0,0.0,0.0,137.0,0.0,7.0,medium
374.0,14.29,0.0,4.2,0.0,74.0,0.0,51.0,high
375.0,25.96,0.0,0.7,0.0,148.0,0.0,8.0,medium
376.0,23.54,0.0,0.1,0.0,148.0,0.0,16.0,high
377.0,19.7,0.0,0.0,0.0,2.0,0.0,26.0,high
378.0,12.42,0.0,0.1,0.0,36.0,0.0,2.0,high
379.0,20.38,0.0,7.8,0.0,121.0,0.0,117.0,high
380.0,19.75,0.0,2.7,0.0,23.0,0.0,136.0,low
381.0,22.79,0.0,1.0,0.0,36.0,0.0,44.0,high
382.0,12.46,0.0,0.0,0.0,129.0,0.0,56.0,high
383.0,16.08,0.0,1.1,0.0,40.0,0.0,21.0,high
384.0,10.29,0.0,1.1,0.0,122.0,0.0,1.0,high
385.0,17.29,0.0,2.4,0.0,38.0,0.0,12.0,high
386.0,23.25,0.0,0.0,0.0,137.0,0.0,137.0,low
387.0,12.71,0.0,2.6,0.0,134.0,0.0,50.0,high
388.0,17.25,0.0,1.0,0.0,28.0,0.0,49.0,low
389.0,18.29,0.0,0.0,0.0,24.0,0.0,43.0,high
390.0,7.41,0.0,0.9,0.0,22.0,0.0,60.0,high
391.0,5.17,0.0,0.0,0.0,130.0,0.0,72.0,high
392.0,3.63,0.0,0.0,0.0,125.0,0.0,97.0,high
393.0,2.17,0.0,0.0,0.0,52.0,0.0,12.0,high
394.0,13.33,0.0,0.3,0.0,122.0,0.0,56.0,high
395.0,22.42,0.0,2.0,0.0,9.0,0.0,38.0,high
396.0,15.71,0.0,0.3,0.0,131.0,0.0,18.0,low
397.0,13.17,0.0,0.8,0.0,8.0,0.0,24.0,low
398.0,15.96,0.0,0.0,0.0,29.0,0.0,138.0,high
399.0,18.88,0.0,4.0,0.0,52.0,0.0,41.0,low
400.0,15.75,0.0,0.0,0.0,29.0,0.0,49.0,high
401.0,18.75,0.0,2.6,0.0,26.0,0.0,41.0,high
